Question,Answer1,Answer2,Answer3,Answer4,Feedback,LevelID,questionID
"Hello, my name is Tim, I am a 48 year old male!
I have a burning sensation on the inside of my mouth! FIX ME.
I hope you read my intake form, I hate repeating myself!
You suspect mucous membrane pemphigoid. Based on the pathogenesis of this condition, which of the following statements is TRUE?","0This condition is primarily due to autoantibodies targeting desmosomal proteins, leading to intraepithelial acantholysis.","1The disease process affects mucosal surfaces such as the mouth, eyes, and anogenital region.","0Because this condition does not typically involve the skin, it is classified as a localized, self-limiting disorder that does not require systemic therapy.","0This condition is best managed conservatively with topical steroids, as systemic therapy is rarely needed due to its self-limiting nature.","Feedback: MMP is a subepithelial autoimmune disease that commonly involves oral, ocular, and other mucosa, not just the mouth.",1,1
"The systemic nature of this condition, which of the following complications poses the GREATEST long-term risk if left untreated?",0Progression to full-thickness oral mucosal necrosis with secondary bacterial superinfection.,"1Fibrosis and scarring of the ocular mucosa, potentially leading to symblepharon and blindness. ",0Rx: Tacrolimus 0.1% oint; Disp : 30 g; Sig: Apply thin film to affected site(s) twice daily. NPO 30 min. after.,0Rx: 10% Docosanol (Abreva) cream (OTC); Disp: 2 (two) g tube; Sig: Dab on lesion five times daily during waking hrs for four days beginning when symptoms first occur.,Dexamethasone is a long-acting corticosteroid with anti-inflammatory and immunosuppressive effects. ,1,2
"""Given the generalized bilateral intraoral involvement of the buccal mucosae, labial mucosae, and tongue in this patient...
...using an oral solution swished throughout the mouth helps ensure adequate contact with all affected surfaces.
Which medication is most likely to be a necessary addition to this patient's treatment plan?""",1Rx: Clotrimazole (Mycelex) troches 10 mg Disp : 70 troches Sig : Let one troche dissolve in mouth five times daily for 14 days. Do not chew. NPO 30 min.after,"0Rx: Nystatin triamcinolone acetonide ( Mycolog II, Mytrex ) oint Disp : 15 g tube. Sig: Apply to affected area after each meal and at bedtime.",0Rx: Acyclovir (Zovirax) caps 800mg. Disp: 35 (thirty-five) caps. Sig: Take one cap five times daily for seven days.,0Rx: 10% Docosanol (Abreva) cream (OTC) Disp: 2 (two) g tube Sig: Dab on lesion five times daily during waking hrs for four days beginning when symptoms first occur.,Clotrimazole is an azole antifungal medication that inhibits the conversion of lanosterol to ergosterol in fungal cells by blocking demethylation.,1,3
"""The use of strong topical steroids can sometimes lead to the emergence of a fungal infection.
In such cases, it may be necessary to initiate parallel treatment with antifungal drugs, especially if topical steroids are used more than once daily.
Which of the following findings might also be present in this patient?""","1Pruritic, flat-topped papules on the flexor surfaces of the arms and legs",0Target-like lesions with central clearing on the palms and soles,"0Painful vesicles and ulcerations on the hard palate and gingiva, accompanied by fever and lymphadenopathy",0Diffuse skin thickening with sclerotic plaques on the fingers and face,"The correct answer is pruritic, flat-topped papules on the flexor surfaces of the arms and legs because oral lichen planus (OLP) can also involve extraoral sites, including the skin.",1,4
"""Approximately 15% of patients with OLP develop cutaneous lesions, which classically present as pruritic, erythematous to violaceous, flat-topped papules.
These lesions most commonly occur on the flexor surfaces of the arms and legs, making this finding consistent with the patient’s condition.
The interlacing, net-like white lines observed in this condition are commonly referred to as Wickham’s striae.""",1True,0False,0-,0-,"Wickham’s striae are a hallmark feature of this condition and present as hyperkeratotic white striations arranged in an interlacing, net-like pattern.
The net-like appearance reflects the Latin word rete (meaning “net”), which describes the characteristic linear white lines seen clinically.",1,5
"""I appreciate your help. Do you know what the diagnosis would be for me? What medication would you suggest?""",1Absolutely!,1I pretty sure I know.,1I'm not quite sure...,1I have no idea.,,1,6
"Hello, I am Sophia, I am a 26 year old female!
I get these little bumps on my lip that scabbed over. Please help me out!
Because ultraviolet exposure only affects the outer epidermal layers of the skin, applying sunscreen to the lips has minimal impact on preventing the recurrence of these lesions.",0True,1False,0-,0-,"Ultraviolet (UV) radiation is a well-established trigger for reactivation of herpes simplex virus (HSV), leading to recrudescent lesions such as recurrent herpes labialis.",2,1
"Reducing UV-related tissue damage, including by applying sunscreen to the lips, has been shown to help suppress recurrence of these lesions.
Therefore, sunscreen use on the lips plays an important preventive role.
Of the following, which of the following is the MOST appropriate medication for topical application?",1Rx: 10% Docosanol (Abreva) cream; Disp: 2 (two) g tube; Sig: Dab on lesion five times daily during waking hrs for four days beginning when symptoms first occur.,0Rx: Fluocinonide (Lidex) gel 0.05%; Disp: 30 g tube; Sig: Apply thin film to affected site(s) after each meal and at bedtime. NPO 30 min. after.,"0Rx: Nystatin triamcinolone acetonide ( Mycolog II, Mytrex ) oint; Disp : 15 g tube.;Sig: Apply to affected area after each meal and at bedtime",0Rx: Tacrolimus 0.1% oint; Disp : 30 g; Sig: Apply thin film to affected site(s) twice daily. NPO 30 min. after,The correct answer is 10% docosanol (Abreva) cream because recurrent herpes labialis is best managed with topical antiviral therapy.,2,2
"Docosanol is available as an over-the-counter (OTC) medication for treatment of viral infections.
When applied frequently at the first prodromal symptoms, docosanol has been shown to reduce viral shedding, pain, and lesion duration.
The other options are anti-inflammatory or immunomodulatory agents and do not treat active HSV infection, making them inappropriate for this condition. 
Based on the typical progression of this condition, at which stage would therapy be MOST effective in reducing symptom severity and duration?",0Papule stage,0Vesicle stage,1Prodromal stage,0Crusting stage,"The correct answer is the prodromal stage because antiviral therapy is most effective when initiated at the earliest signs of recurrence, such as tingling or burning.",2,3
"In this patient, systemic antiviral therapy should be taken continuously to prevent future outbreaks, rather than on an as-needed basis during prodromal symptoms.
Starting topical or systemic antivirals during the prodrome can abort lesion development or significantly reduce viral shedding, pain, and lesion duration.",0True,1False,0-,0-,"For most immunocompetent patients with recurrent herpes labialis (RHL), systemic antiviral therapy is used episodically.",2,4
